Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
P-163-TR,KNAC381AFN5048382,KIA,EV6,77.4kWh Plus RWD,77.4,,12/22/2024,NL,EV,Not Found
N815SL,KNAC481AFN5013125,KIA,EV6,77.4kWh GT-Line RWD 5d,77.4,,23-12-2024,NL,EV,Found
P-504-VX,KNAC381AFN5048423,KIA,EV6,77.4kWh Plus RWD,77.4,,12/29/2024,NL,EV,Not Found
J028JN,VXKUHZKXZL4319080,Opel,Corsa-e,100kW Edition 5d,,,28-08-2024,NL,EV,Found
J103XZ,VR1UJZKXZLW025830,DS,DS 3 Crossback,E-TENSE 50 kWh Grand Chic Auto 5d,50,,01-09-2024,NL,EV,Found
x,W1N2437011J010162,MERCEDES-BENZ,EQA,x,66.5,,31.12.2024 00:00:00,Germany,EV,Found
x,WBY71AW080FN98925,BMW,i4,x,,,22.12.2024 00:00:00,Germany,EV,Found
G478ZT,WBY8P610307F28995,BMW,i3,i3s (120Ah) 5d,,,27-12-2024,NL,OLD,Found
J987SL,VR3UKZKXZLJ829275,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,01-09-2024,NL,EV,Found
J600KR,VR3UHZKXZLT085394,PEUGEOT,208,GT EV 50kWh 136 5d,50,,03-09-2024,NL,EV,Found
G971BH,W0VF86E04K4138477,Opel,Ampera-e,150kW Business 5d,,,04-09-2024,NL,EV,Not Found
J195LL,VXKUHZKXZL4332219,Opel,Corsa-e,50kWh GS-Line 11kW 3 fase 5d,50,,08-09-2024,NL,EV,Found
x,VXKUHZKXZL4290122,OPEL,Corsa-e,x,,,08.09.2024 00:00:00,Germany,EV,Found
J185LS,VXKUHZKXZL4324109,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,10-09-2024,NL,EV,Found
R174SZ,W1N9M0BBXPN025195,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,23-11-2024,NL,EV,Found
G-026-ZG,WBY8P210907F47480,BMW,i3,i3 (120Ah),,,12/30/2024,NL,OLD,Found
